scenario,layout,run,n,f,commits,budget_kib,locality,tree_bytes_avg,transaction_bytes_avg,total_bytes_avg,commit_ms_avg,commit_ms_p50,commit_ms_p95,flushes,open_read_ops,open_ms,resolve_read_ops_avg,resolve_ms_avg,resolve_ms_p50,resolve_ms_p95,materialize_read_ops,materialize_ms,cache_policy,delta_bytes_avg,folds,max_delta_tail
AB-REPLACE,flat,1,50000,10,500,128,scattered,4283603.748,0.000,4283603.748,6.547,6.364,7.283,0,3,13.353,0.000,0.000,0.000,0.000,3,13.353,disabled,0.000,0,0
AB-REPLACE,betree,1,50000,10,500,128,scattered,4581.326,914.984,6414.902,2.939,2.914,4.806,0,9,3.720,2.000,0.468,0.462,0.517,0,0.000,disabled,918.592,19,32
AB-TRICKLE,flat,2,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,6.893,6.712,7.789,0,3,13.319,0.000,0.000,0.000,0.000,3,13.319,disabled,0.000,0,0
AB-TRICKLE,betree,2,50000,10,500,128,scattered,4567.798,902.020,6376.334,2.949,2.988,4.585,0,2,3.495,2.000,0.464,0.461,0.515,0,0.000,disabled,906.516,19,32
AB-REPLACE,flat,2,50000,10,500,128,scattered,4283603.748,0.000,4283603.748,6.614,6.340,7.567,0,3,12.430,0.000,0.000,0.000,0.000,3,12.430,disabled,0.000,0,0
AB-REPLACE,betree,2,50000,10,500,128,scattered,4581.326,914.984,6414.902,2.934,2.924,4.591,0,9,3.587,2.000,0.464,0.463,0.515,0,0.000,disabled,918.592,19,32
AB-TRICKLE,flat,3,50000,10,500,128,scattered,4477891.248,0.000,4477891.248,6.772,6.690,7.185,0,3,13.743,0.000,0.000,0.000,0.000,3,13.743,disabled,0.000,0,0
AB-TRICKLE,betree,3,50000,10,500,128,scattered,4567.798,902.020,6376.334,2.955,2.925,4.756,0,2,3.383,2.000,0.471,0.464,0.528,0,0.000,disabled,906.516,19,32
AB-REPLACE,flat,3,50000,10,500,128,scattered,4283603.748,0.000,4283603.748,6.548,6.375,7.051,0,3,12.626,0.000,0.000,0.000,0.000,3,12.626,disabled,0.000,0,0
AB-REPLACE,betree,3,50000,10,500,128,scattered,4581.326,914.984,6414.902,3.102,3.130,5.007,0,9,3.641,2.000,0.464,0.464,0.509,0,0.000,disabled,918.592,19,32
